API Name,Base URL,Source URL
"행정안전부_기타_승강기제조및수입업체 조회서비스","apis.data.go.kr/1741000/elevator_manufacturers_importers","https://www.data.go.kr/data/15155100/openapi.do"
"행정안전부_문화_관광펜션업 조회서비스","apis.data.go.kr/1741000/tourist_pensions","https://www.data.go.kr/data/15155103/openapi.do"
"행정안전부_동물_도축업 조회서비스","apis.data.go.kr/1741000/slaughterhouses","https://www.data.go.kr/data/15155105/openapi.do"
"행정안전부_기타_요양보호사교육기관 조회서비스","apis.data.go.kr/1741000/caregiver_training","https://www.data.go.kr/data/15155108/openapi.do"
"행정안전부_기타_장례지도사 교육기관 조회서비스","apis.data.go.kr/1741000/funeral_director_training","https://www.data.go.kr/data/15155110/openapi.do"
"행정안전부_동물_부화업 조회서비스","apis.data.go.kr/1741000/hatcheries","https://www.data.go.kr/data/15155112/openapi.do"
"행정안전부_문화_농어촌민박업 조회서비스","apis.data.go.kr/1741000/rural_homestays","https://www.data.go.kr/data/15155113/openapi.do"
"행정안전부_자원환경_원목생산업 조회서비스","apis.data.go.kr/1741000/log_production","https://www.data.go.kr/data/15155114/openapi.do"
"행정안전부_동물_종축업 조회서비스","apis.data.go.kr/1741000/breeding_stock_businesses","https://www.data.go.kr/data/15155118/openapi.do"
"행정안전부_자원환경_제재업 조회서비스","apis.data.go.kr/1741000/sawmills","https://www.data.go.kr/data/15155120/openapi.do"
"행정안전부_동물_사료제조업 조회서비스","apis.data.go.kr/1741000/feed_manufacturers","https://www.data.go.kr/data/15155121/openapi.do"
"행정안전부_문화_숙박업 조회서비스","apis.data.go.kr/1741000/lodgings","https://www.data.go.kr/data/15155124/openapi.do"
"행정안전부_식품_식품소분업 조회서비스","apis.data.go.kr/1741000/food_repackagers","https://www.data.go.kr/data/15155126/openapi.do"
"행정안전부_자원환경_계량기수리업 조회서비스","apis.data.go.kr/1741000/weighing_instrument_repair","https://www.data.go.kr/data/15155127/openapi.do"
"행정안전부_문화_비디오물감상실업 조회서비스","apis.data.go.kr/1741000/video_viewing_rooms","https://www.data.go.kr/data/15155128/openapi.do"
"행정안전부_문화_관광사업자 조회서비스","apis.data.go.kr/1741000/tourism_businesses","https://www.data.go.kr/data/15155130/openapi.do"
"행정안전부_식품_식품운반업 조회서비스","apis.data.go.kr/1741000/food_transporters","https://www.data.go.kr/data/15155133/openapi.do"
"행정안전부_문화_관광유람선업 조회서비스","apis.data.go.kr/1741000/tourist_cruises","https://www.data.go.kr/data/15155134/openapi.do"
"행정안전부_문화_노래연습장업 조회서비스","apis.data.go.kr/1741000/karaoke_rooms","https://www.data.go.kr/data/15155135/openapi.do"
"행정안전부_자원환경_계량기수입업 조회서비스","apis.data.go.kr/1741000/weighing_instrument_import","https://www.data.go.kr/data/15155137/openapi.do"
"행정안전부_문화_국제회의시설업 조회서비스","apis.data.go.kr/1741000/international_convention_facilities","https://www.data.go.kr/data/15155138/openapi.do"
"행정안전부_문화_외국인관광도시민박업 조회서비스","apis.data.go.kr/1741000/foreigner_city_homestays","https://www.data.go.kr/data/15155139/openapi.do"
"행정안전부_문화_문화예술법인 조회서비스","apis.data.go.kr/1741000/cultural_art_corporations","https://www.data.go.kr/data/15155142/openapi.do"
"행정안전부_식품_식품자동판매기업 조회서비스","apis.data.go.kr/1741000/food_vending_machines","https://www.data.go.kr/data/15155144/openapi.do"
"행정안전부_문화_박물관 및 미술관 조회서비스","apis.data.go.kr/1741000/museums_and_art_galleries","https://www.data.go.kr/data/15155146/openapi.do"
"행정안전부_자원환경_계량기제조업 조회서비스","apis.data.go.kr/1741000/weighing_instrument_manufacturing","https://www.data.go.kr/data/15155147/openapi.do"
"행정안전부_문화_일반야영장업 조회서비스","apis.data.go.kr/1741000/general_campgrounds","https://www.data.go.kr/data/15155149/openapi.do"
"행정안전부_식품_식품제조가공업 조회서비스","apis.data.go.kr/1741000/food_manufacturing_processors","https://www.data.go.kr/data/15155150/openapi.do"
"행정안전부_문화_시내순환관광업 조회서비스","apis.data.go.kr/1741000/city_tour_businesses","https://www.data.go.kr/data/15155152/openapi.do"
"행정안전부_자원환경_계량기증명업 조회서비스","apis.data.go.kr/1741000/weighing_instrument_certification","https://www.data.go.kr/data/15155154/openapi.do"
"행정안전부_문화_대중문화예술기획업 조회서비스","apis.data.go.kr/1741000/pop_culture_art_planners","https://www.data.go.kr/data/15155155/openapi.do"
